Oklahoma,Numbers,EPA Start,d,d,d,d
"Wynnewood Refining Company, LLC - Wynnewood Refinery",2007-026-TVR (M,5/2/15,6/15/15,6/16/15,8/14/15,
"WYNNEWOOD RFNRY CO LLC, GARVIN COUNTY",2007-026-TVR M-,7/29/15,9/11/15,9/12/15,11/10/15,Wynnewood Refining Corporation LLC has requested a minor modification to their current Part 70 oper...
,,,,,,
,,,,,,
"WYNNEWOOD RFNRY CO LLC, GARVIN COUNTY",2007-026-TVR M-,8/18/15,10/1/15,10/2/15,11/30/15,The Wynnewood Refining Corporation LLC has requested a minor modification to their current Part 70 ...
,,,,,,
,,,,,,
"WYNNEWOOD RFNRY CO LLC, GARVIN COUNTY",2007-026-TVR M-,9/11/15,10/25/15,10/26/15,12/24/15,The Wynnewood Refining Corporation LLC (WRC) has requested a minor modification to their current P...
,,,,,,
,,,,,,
"XTO ENGRY INC, SALT CREEK CMPSR STA, COAL COUNTY",2008-319-C M-1,3/4/11,4/17/11,,,
,,,,,,
,,,,,,
"XTO ENGRY INC, SALT CREEK CMPSR STA, COAL COUNTY",2012-1221-TV M-,11/5/15,12/19/15,12/20/15,2/17/16,
,,,,,,
,,,,,,,
