a,a,a,a,a,a
24700037,Visy Paper Inc,3/10/08,2631-247-0037-V-02-0,VN-17435,Title V
10300014,GA POWER CO PLT MCINTOSH,8/21/07,4911-103-0014-V-03-2,VN-17487,Title V
29700040,MPC Generating LLC,8/10/07,4911-297-0040-V-06-3,VN-17492,Title V
17700010,Woodgrain Millwork,10/19/07,2431-177-0010-V-02-1,VN-17558,Title V
5900026,CertainTeed Corporation,7/15/09,3296-059-0026-V-02-0,VN-17572,Title V
31300096,Mohawk Industries Inc,1/29/09,2273-313-0096-V-02-1,VN-18573,Title V
10300003,Ga Power Co Plt McIntosh,9/18/09,4911-103-0003-V-02-3,VN-18669,Title V
12700004,Ga Power Company - Plant McManus,9/17/09,4911-127-0004-V-03-1,VN-18671,Title V
5100006,Ga Power Company - Plant Kraft,5/16/08,4911-051-0006-V-02-1,VN-17874,Title V
8900227,INTERNATIONAL PAPER CO.,7/24/08,2751-089-0227-V-03-0,VN-18298,Title V
24500009,"Boral Bricks - Augusta Plants 3, 4, & 5",2/8/10,3251-245-0009-V-02-5,VN-18516,Title V
5100148,Arizona Chemical Corporation,11/16/09,2821-051-0148-V-02-3,VN-18561,Title V
14900005,Hawk Road Energy Facility,9/17/09,4911-149-0005-V-04-1,VN-18623,Title V
15300040,Ga Power Company - Robins,6/8/09,4911-153-0040-V-02-1,VN-18686,Title V
11500003,Ga Power Company - Plant Hammond,3/12/09,4911-115-0003-V-02-6,VN-18436,Title V
5100012,Epic Savannah North Terminal,10/8/09,2911-051-0012-V-04-0,VN-18559,Title V
20700030,Smarr EMC,9/17/09,4911-207-0030-V-06-1,VN-18694,Title V
27500031,"Flowers Baking Co of Thomasville, Inc.",11/16/09,2051-275-0031-V-04-0,VN-18726,Title V
17900011,SNF - Riceboro,5/12/08,2899-179-0011-V-01-6,VN-17920,Title V
12900028,J. M. Huber Corporation Solem Division - Fairmount Plant,11/12/08,3295-129-0028-V-05-0,VN-18141,Title V
25500035,"Springs Global US, Inc. (Griffin Finishing Plant)",11/13/08,2261-255-0035-V-02-1,VN-18283,Title V
6300030,Hartsfield-Jackson Atlanta International Airport,8/24/10,4581-063-0030-V-03-0,VN-18635,Title V
19300013,Weyerhaeuser NR Company - Flint River Operations,3/17/09,2611-193-0013-V-02-1,VN-18640,Title V
10700011,Interfor U.S. Inc. - Swainsboro Sawmill,6/18/09,2421-107-0011-V-03-1,VN-18710,Title V
12900035,Shaw Industries Inc Plt D7,2/23/09,2281-129-0035-V-02-2,VN-18779,Title V
19500014,Weyerhaeuser NR Company - Colbert Plant,1/29/09,2439-195-0014-V-02-1,VN-18606,Title V
3900002,Bayer CropScience - Woodbine Plant,5/28/08,2879-039-0002-V-04-2,VN-17865,Title V
23700131,Horton Homes Inc,7/21/08,2451-237-0131-V-02-0,VN-17947,Title V
24500002,PCS NITROGEN FERTILIZER L.P.,12/18/08,2873-245-0002-V-02-3,VN-18185,Title V
23700127,Horton Components Division,4/22/09,3273-237-0127-V-02-0,VN-18218,Title V
7700039,Yamaha Motor Manufacturing Corporation,2/24/09,3799-077-0039-V-04-1,VN-18406,Title V
18500023,MAAX US Corp,1/15/09,3088-185-0023-V-03-0,VN-18458,Title V
1500011,Ga Power Company - Plant Bowen,3/12/09,4911-015-0011-V-02-7,VN-18613,Title V
3300008,Southern Nuclear - Allen B. Wilson Plant,11/16/09,4911-033-0008-V-02-1,VN-18659,Title V
28500032,Milliken & Co Live Oak/Milstar Complex,11/14/08,2273-285-0032-V-02-2,VN-18534,Title V
21500051,Exide Technologies,11/18/09,3341-215-0051-V-05-0,VN-18703,Title V
4500038,Southwire Company Machine Services,4/22/09,3449-045-0038-V-03-2,VN-18705,Title V
4500012,Southwire Company Carrollton Building Wire Plant,4/22/09,3357-045-0012-V-02-3,VN-18706,Title V
21500181,Pine Grove Landfill,2/10/09,4953-215-0181-V-02-1,VN-18728,Title V
27700058,"Heatcraft Refrigeration Products, LLC",7/21/09,3585-277-0058-V-02-0,VN-18734,Title V
6900044,MarCraft Inc,7/15/10,3088-069-0044-V-03-0,VN-18872,Title V
12700003,Brunswick Cellulose Inc,3/26/10,2631-127-0003-V-05-1,VN-19281,Title V
20700008,Ga Power Company - Plant Scherer,2/23/10,4911-207-0008-V-02-A,VN-19286,Title V
16300016,KaMin - Wrens Main,3/21/11,3295-163-0016-V-04-0,VN-19365,Title V
8900128,Transmontaigne Operating Co LP,7/19/10,5171-089-0128-V-03-3,VN-19442,Title V
15300003,"CEMEX Southeast, LLC",2/4/11,3241-153-0003-V-05-0,VN-19037,Title V
1700009,"GBW Railcar Services, LLC",7/1/10,4789-017-0009-V-03-0,VN-19184,Title V
14900001,Ga Power Company - Plant Wansley,11/30/10,4911-149-0001-V-02-8,VN-19370,Title V
5700059,International Thermocast Corporation,2/4/11,3088-057-0059-V-02-1,VN-19474,Title V
12100020,OWENS BROCKWAY GLASS CONTAINER INC.,1/6/10,3221-121-0020-V-02-2,VN-18908,Title V
4900008,"Chesser Island Road Landfill, Inc.",11/5/10,4953-049-0008-V-02-0,VN-19000,Title V
12100020,OWENS BROCKWAY GLASS CONTAINER INC.,1/25/11,3221-121-0020-V-03-0,VN-19602,Title V
6700078,Metal Coaters,11/1/10,3479-067-0078-V-04-0,VN-19635,Title V
20700008,Ga Power Company - Plant Scherer,5/12/10,4911-207-0008-V-02-B,VN-18930,Title V
28500045,Milliken & Co Valway Plant,12/18/09,2262-285-0045-V-02-1,VN-19368,Title V
19900004,Georgia-Pacific Wood Products LLC (Warm Springs),7/21/09,2436-199-0004-V-02-3,VN-18864,Title V
6700015,Boral Bricks - Atlanta Plant,7/19/10,3251-067-0015-V-03-0,VN-18900,Title V
8900128,Transmontaigne Operating Co LP,8/26/09,5171-089-0128-V-03-2,VN-19095,Title V
1300018,"McConway & Torley, LLC - Plant No. 494",5/2/11,3743-013-0018-V-04-0,VN-19145,Title V
24700052,"Jet Corr II, Inc.",10/6/09,2679-247-0052-V-01-1,VN-19204,Title V
13500010,OFS Fitel LLC,7/15/09,3357-135-0010-V-02-1,VN-19033,Title V
5500005,SHOWA BEST GLOVE,9/20/10,3069-055-0005-V-04-0,VN-19321,Title V
8900297,Hickory Ridge MSW Landfill,4/8/10,4953-089-0297-V-02-4,VN-19555,Title V
8900121,"MagellanTerminal Holdings, L.P. - Doraville II Terminal",2/15/12,5171-089-0121-V-04-0,VN-19982,Title V
31300003,Shaw Industries Group Inc. Plant 80,4/19/11,2273-313-0003-V-02-3,VN-20126,Title V
1500008,Chemical Products Corporation,5/18/12,2819-015-0008-V-03-0,VN-20127,Title V
7700010,"Bon L Manufacturing Company, Inc.",12/13/11,3354-077-0010-V-02-1,VN-20430,Title V
29700036,Goodyear Tire & Rubber Company,5/18/12,3061-297-0036-V-07-4,VN-20608,Title V
6700027,Lockheed Martin Aeronautics Company,5/9/12,3721-067-0027-V-07-1,VN-20611,Title V
8900100,Chevron Products Co.-Doraville Term.,8/22/11,5171-089-0100-V-03-0,VN-19727,Title V
10300012,"Effingham County Power, LLC",5/30/12,4911-103-0012-V-04-1,VN-19810,Title V
4900004,West Fraser - Folkston Lumber Mill,4/5/11,2421-049-0004-V-04-0,VN-19689,Title V
5900026,CertainTeed Corporation,3/24/11,3296-059-0026-V-02-2,VN-19817,Title V
17500042,Griffin Industries Inc,5/13/11,2077-175-0042-V-02-4,VN-20028,Title V
6700018,Sutton R L WPCP,11/1/11,4952-067-0018-V-03-0,VN-20039,Title V
17900011,SNF - Riceboro,5/13/11,2899-179-0011-V-02-5,VN-20056,Title V
24500008,Chemtrade Solutions LLC,5/30/12,2819-245-0008-V-04-0,VN-20090,Title V
1100014,R & B Landfill,7/3/12,4953-011-0014-V-03-1,VN-20161,Title V
28900001,KaMin - Macon Facility,3/28/12,1455-289-0001-V-04-0,VN-19886,Title V
24500002,PCS NITROGEN FERTILIZER L.P.,9/11/12,2873-245-0002-V-03-0,VN-20342,Title V
12900070,Redbone Ridges MSW Landfill,9/8/11,4953-129-0070-V-03-0,VN-19721,Title V
10700011,Interfor U.S. Inc. - Swainsboro Sawmill,2/8/11,2421-107-0011-V-03-3,VN-19880,Title V
1500116,Bartow LFG LLC,2/15/11,4911-015-0116-V-01-0,VN-19898,Title V
4500008,Southwire Company -Carrollton,3/28/12,3357-045-0008-V-04-0,VN-19901,Title V
31300074,Shaw Industries Group Inc Plt 23,2/6/12,2273-313-0074-V-03-0,VN-20077,Title V
6300083,Atlanta Gas Light Company,9/15/11,4924-063-0083-V-03-0,VN-20210,Title V
12100715,Alchemix Corporation,12/20/11,2851-121-0715-V-05-0,VN-20295,Title V
8700050,TexPar Energy LLC,8/1/11,2992-087-0050-V-04-0,VN-20323,Title V
18500051,ADM VALDOSTA,2/15/11,2075-185-0051-V-02-2,VN-19724,Title V
4500012,Southwire Company Carrollton Building Wire Plant,6/15/11,3357-045-0012-V-02-4,VN-20351,Title V
20700030,Smarr EMC,2/21/12,4911-207-0030-V-07-0,VN-20454,Title V
24500023,Occidental Chemical Co,10/18/11,2819-245-0023-V-03-0,VN-20474,Title V
8900127,Citgo Petroleum Corp,4/26/12,5171-089-0127-V-03-0,VN-20439,Title V
6300030,Hartsfield-Jackson Atlanta International Airport,1/19/12,4581-063-0030-V-03-2,VN-20443,Title V
21700020,FIBERVISIONS INC.,9/25/12,2824-217-0020-V-03-0,VN-20450,Title V
8900130,BP Products North America Inc,9/7/12,5171-089-0130-V-03-0,VN-20578,Title V
5100046,Gulfstream Aerospace Corporation,4/17/12,3721-051-0046-V-02-5,VN-20926,Title V
21700024,Pactiv Corp,3/28/12,3086-217-0024-V-04-1,VN-20948,Title V
6300106,Clayton County SR 3 Love Joy Landfill,8/29/12,4953-063-0106-V-03-1,VN-21056,Title V
22500001,Blue Bird Body Company,12/21/12,3713-225-0001-V-05-0,VN-21057,Title V
9300022,Roseburg Forest Products South LP,10/10/12,2493-093-0022-V-04-1,VN-21417,Title V
900031,"Triumph Aerostructures, LLC - Vought Aircraft Division",1/25/13,3728-009-0031-V-04-1,VN-21560,Title V
31300070,"Shaw Industries, Inc. - Plant WD",1/25/13,2273-313-0070-V-03-0,VN-20744,Title V
5100003,"Southern LNG Company, L.L.C. -Elba Island LNG Terminal - (Kinder Morgan , Inc.)",3/14/12,4922-051-0003-V-03-1,VN-20903,Title V
5100110,"Imperial-Savannah, L.P.",4/5/12,2062-051-0110-V-03-2,VN-20904,Title V
18900019,Georgia-Pacific Panel Products LLC - Thomson Particleborad Plant,3/14/12,2493-189-0019-V-02-2,VN-20905,Title V
22900007,"Sundance Boats, Inc.",6/28/13,3732-229-0007-V-05-0,VN-21065,Title V
1500008,Chemical Products Corporation,1/17/12,2819-015-0008-V-02-4,VN-20752,Title V
31300096,Mohawk Industries Inc,12/13/12,2273-313-0096-V-03-0,VN-20774,Title V
5100148,Arizona Chemical Corporation,9/21/12,2821-051-0148-V-02-7,VN-21112,Title V
13500139,Dolco Packaging,11/7/12,3086-135-0139-V-03-1,VN-21196,Title V
6700022,Caraustar Industries Inc,1/17/12,2631-067-0022-V-03-1,VN-20709,Title V
5100046,Gulfstream Aerospace Corporation,11/15/12,3721-051-0046-V-03-0,VN-20880,Title V
5900102,CII Methane Management II landfill Gas To Energy Project,9/7/12,4911-059-0102-V-01-0,VN-21093,Title V
5100076,"Colonial Terminals, Inc.",6/27/14,5171-051-0076-V-03-0,VN-21447,Title V
3900003,Naval Submarine Base,3/4/14,9711-039-0003-V-03-0,VN-21471,Title V
2700013,"Langboard OSB, Quitman",1/29/13,2493-027-0013-V-03-0,VN-20734,Title V
21300034,Thomas A. Smith Energy Facility,4/17/12,4911-213-0034-V-06-2,VN-20914,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,3/2/12,4512-063-0105-V-02-4,VN-20987,Title V
24500062,Resolute FP Augusta LLC,9/25/12,2621-245-0062-V-03-4,VN-21308,Title V
29300025,"Southern Natural Gas Company, L.L.C - Thomaston Comp. Station",9/7/12,4922-293-0025-V-03-1,VN-21323,Title V
5900059,University of Georgia,11/14/13,8221-059-0059-V-03-0,VN-21084,Title V
28500015,Atlas Roofing Corporation,1/31/13,3086-285-0015-V-04-0,VN-21238,Title V
900019,Central State Hospital,6/18/13,8063-009-0019-V-03-0,VN-21430,Title V
5100076,"Colonial Terminals, Inc.",1/24/13,5171-051-0076-V-02-3,VN-21440,Title V
2100001,Graphic Packaging Macon Mill,3/1/13,2631-021-0001-V-03-4,VN-21494,Title V
12100807,Delta Airlines - General Office Facilities,1/31/12,4512-121-0807-V-02-1,VN-20806,Title V
24500006,INTERNATIONAL PAPER - AUGUSTA MILL,10/31/12,2631-245-0006-V-02-2,VN-21389,Title V
30300035,KaMin - Sandersville,8/11/14,3295-303-0035-V-03-0,VN-21739,Title V
18900019,Georgia-Pacific Panel Products LLC - Thomson Particleborad Plant,6/27/14,2493-189-0019-V-03-0,VN-22050,Title V
22700003,Imerys Marble Inc.,1/14/14,1499-227-0003-V-03-1,VN-22096,Title V
21500021,United States Army Maneuver Center of Excellence - Fort Benning,3/12/14,9711-215-0021-V-03-0,VN-21699,Title V
21500001,"DMI Columbus, LLC",5/20/14,3321-215-0001-V-04-1,VN-22331,Title V
11700025,Scientific Games International,6/23/15,2754-117-0025-V-05-0,VN-22394,Title V
23700008,Ga Power Company - Plant Branch,3/1/13,4911-237-0008-V-03-1,VN-21589,Title V
5100003,"Southern LNG Company, L.L.C. -Elba Island LNG Terminal - (Kinder Morgan , Inc.)",9/12/13,4922-051-0003-V-04-1,VN-21629,Title V
22700011,"Huber Carbonates, LLC",5/20/14,1455-227-0011-V-03-0,VN-21679,Title V
5900026,CertainTeed Corporation,11/7/13,3296-059-0026-V-02-3,VN-22045,Title V
10300007,GEORGIA-PACIFIC CONSUMER PRODUCTS LP (SAVANNAH RIVER MILL),8/14/13,2621-103-0007-V-04-1,VN-21780,Title V
10300014,GA POWER CO PLT MCINTOSH,10/21/14,4911-103-0014-V-05-0,VN-21983,Title V
30500001,"Rayonier Performance Fibers, LLC",12/16/14,2631-305-0001-V-04-3,VN-22497,Title V
26100003,"C-E Minerals Plants No. 1, 2, and 6",1/22/14,3255-261-0003-V-02-2,VN-21887,Title V
14300017,Plantation Pipe Line Co,5/30/14,4613-143-0017-V-03-0,VN-22022,Title V
24500005,Thermal Ceramics,12/16/14,3255-245-0005-V-03-0,VN-22401,Title V
5100148,Arizona Chemical Corporation,4/21/14,2821-051-0148-V-03-0,VN-21572,Title V
19500015,"Transcontinental Gas Pipe Line Company, LLC - Compressor Station 130",6/13/13,4922-195-0015-V-03-2,VN-21676,Title V
2100030,Armstrong World Industries Inc,2/6/15,3999-021-0030-V-03-0,VN-22330,Title V
23700008,Ga Power Company - Plant Branch,11/7/13,4911-237-0008-V-03-2,VN-21915,Title V
8100062,Crisp County US 41S MSW Landfill,1/21/15,4953-081-0062-V-03-0,VN-22153,Title V
6300105,Delta Air Lines Inc - Technical Operations Center,4/29/15,4512-063-0105-V-03-0,VN-22163,Title V
29700036,Goodyear Tire & Rubber Company,7/8/14,3061-297-0036-V-07-5,VN-22369,Title V
24500128,"DSM Coating Resins, Inc.",4/4/14,2821-245-0128-V-03-3,VN-22457,Title V
24100018,"Multitrade Rabun Gap, LLC",6/25/14,4911-241-0018-V-02-2,VN-22469,Title V
17900018,Fort Stewart,6/25/14,9711-179-0018-V-02-2,VN-22489,Title V
30700001,"Interfor U.S., Inc.",7/30/14,2421-307-0001-V-04-0,VN-22573,Title V
29700036,Goodyear Tire & Rubber Company,1/16/15,3011-297-0036-V-08-0,VN-22524,Title V
5100003,"Southern LNG Company, L.L.C. -Elba Island LNG Terminal - (Kinder Morgan , Inc.)",7/7/15,4922-051-0003-V-05-0,VN-22556,Title V
21500051,Exide Technologies,5/8/15,3341-215-0051-V-06-0,VN-22600,Title V
5100077,Southern States Phosphate & Fertilizer,1/21/15,2819-051-0077-V-04-0,VN-22735,Title V
17900011,SNF - Riceboro,1/21/15,2899-179-0011-V-02-E,VN-22642,Title V
15100022,Toppan Interamerica Inc,6/12/15,2754-151-0022-V-04-0,VN-22711,Title V
5100046,Gulfstream Aerospace Corporation,1/16/15,3721-051-0046-V-03-2,VN-40015,Title V
5100008,Savannah Acid Plant LLC,3/6/15,2819-051-0008-V-06-0,VN-22592,Title V
12700006,Renessenz LLC,6/12/15,2869-127-0006-V-05-0,VN-22650,Title V
8900226,Woodbridge Foam Corp,8/29/14,3079-089-0226-V-02-1,VN-22657,Title V
31300054,Trinseo,5/6/16,2822-313-0054-V-05-0,VN-22723,Title V
18500023,MAAX US Corp,9/29/15,3088-185-0023-V-05-0,VN-22745,Title V
9500109,"Albany Green Energy, LLC",8/21/14,4911-095-0109-V-01-1,,Title V
2100001,Graphic Packaging Macon Mill,8/27/15,2631-021-0001-V-04-3,VN-23186,Title V
18500096,"Advanced Disposal Services Pecan Row Landfill, LLC",8/12/15,4953-185-0096-V-03-1,VN-23241,Title V
5100076,"Colonial Terminals, Inc.",8/27/15,5171-051-0076-V-03-1,VN-23277,Title V
29900045,"Carolina Skiff, Llc",11/12/15,3732-299-0045-V-06-2,VN-23537,Title V
27500008,"HOOD INDUSTRIES, INC.",12/11/15,2421-275-0008-V-03-1,VN-40440,Title V
1500011,Ga Power Company - Plant Bowen,5/11/15,4911-015-0011-V-03-5,VN-23133,Title V
12100268,RM CLAYTON WATER RECLAMATION CENTER,10/9/15,4952-121-0268-V-02-1,VN-40135,Title V
12100715,Alchemix Corporation,9/4/15,2851-121-0715-V-05-1,VN-40080,Title V
24500126,"Solvay Specialty Polymers USA, LLC",6/1/15,2821-245-0126-V-05-2,VN-22997,Title V
24500006,INTERNATIONAL PAPER - AUGUSTA MILL,4/21/16,2631-245-0006-V-03-3,VN-40675,Title V
1500011,Ga Power Company - Plant Bowen,9/2/15,4911-015-0011-V-03-6,VN-23021,Title V
19900025,Turkey Run Municipal Solid Waste Landfill,8/18/15,4953-199-0025-V-02-3,VN-23083,Title V
15300003,"CEMEX Southeast, LLC",4/15/15,3241-153-0003-V-05-5,VN-23119,Title V
12100020,OWENS BROCKWAY GLASS CONTAINER INC.,2/16/16,3221-121-0020-V-04-0,VN-40234,Title V
7500001,Blue Sky Biomass Georgia LLC,3/24/15,2493-075-0001-V-05-0,VN-23048,Title V
9500071,Procter & Gamble Paper Products Company,8/18/15,2676-095-0071-V-03-2,VN-23103,Title V
20500047,"Flint Hills Resources Camilla, LLC",4/21/16,2869-205-0047-V-04-1,VN-40159,Title V
5700036,ATLANTA GAS LIGHT CO.,12/8/15,4924-057-0036-V-03-3,VN-40373,Title V
1500061,Anheuser-Busch Inc,2/5/16,2082-015-0061-V-04-0,VN-40065,Title V
9900001,Georgia-Pacific Cedar Springs LLC,9/8/15,2631-099-0001-V-03-3,VN-23267,Title V
9500023,Marine Corps Logistics Base,1/4/16,9711-095-0023-V-03-2,VN-23413,Title V
19900025,Turkey Run Municipal Solid Waste Landfill,12/7/15,4953-199-0025-V-03-0,VN-23437,Title V
13900046,MILLIKEN & CO NEW HOLLAND PLT,5/6/16,2281-139-0046-V-03-2,VN-23668,Title V
5100076,"Colonial Terminals, Inc.",11/16/06,5171-051-0076-V-01-6,VN-16725,Title V
24500009,"Boral Bricks - Augusta Plants 3, 4, & 5",10/24/07,3251-245-0009-V-02-3,VN-16720,Title V
17900001,Interstate Paper LLC,3/20/08,2631-179-0001-V-01-5,VN-16769,Title V
5100006,Ga Power Company - Plant Kraft,7/30/07,4911-051-0006-V-02-0,VN-16756,Title V
18500051,ADM VALDOSTA,1/10/07,2075-185-0051-V-01-7,VN-16848,Title V
24500017,Olin Corporation,9/27/06,2812-245-0017-V-03-1,VN-16865,Title V
20500044,Baconton Power LLC,4/3/08,4911-205-0044-V-04-0,VN-16810,Title V
31300081,"Shaw Industries Group, Inc. - Plant 1 & 3",5/2/00,2273-313-0081-V-01-0,VN-9234,Title V
21700010,Rotadyne Roll Group,9/13/99,3069-217-0010-V-01-0,VN-9226,Title V
19500014,Weyerhaeuser NR Company - Colbert Plant,5/22/02,2439-195-0014-V-01-0,VN-9260,Title V
24500005,Thermal Ceramics,10/29/03,3255-245-0005-V-01-0,VN-9256,Title V
31300074,Shaw Industries Group Inc Plt 23,4/27/00,2273-313-0074-V-01-0,VN-9253,Title V
16300016,KaMin - Wrens Main,8/30/99,1455-163-0016-V-01-0,VN-9247,Title V
1500032,Gerdau Ameristeel US Inc.,9/28/01,3312-015-0032-V-01-0,VN-9246,Title V
15300040,Ga Power Company - Robins,11/16/98,4911-153-0040-V-01-0,VN-9303,Title V
7700001,GA POWER CO. - PLANT YATES,5/27/99,4911-077-0001-V-01-0,VN-9300,Title V
14300014,"Ball Aerosol And Specialty Container, Inc.",7/9/01,3411-143-0014-V-01-0,VN-9286,Title V
5100077,Southern States Phosphate & Fertilizer,9/30/99,2819-051-0077-V-01-0,VN-9278,Title V
11500025,Florida Tile Industries Inc,8/13/99,3253-115-0025-V-01-0,VN-9325,Title V
8900239,"Bimbo Bakeries USA, Inc.",9/25/98,2051-089-0239-V-01-0,,Title V
15100025,"Transcontinental Gas Pipe Line Company, LLC - Compressor Station 120",6/26/02,4922-151-0025-V-01-0,VN-9311,Title V
27700012,"Tifton Aluminum Extrusions, Inc.",7/19/99,3354-277-0012-V-01-0,VN-9368,Title V
14700016,Monroe Automotive Equipment,5/26/99,3714-147-0016-V-01-0,VN-9391,Title V
5100148,Arizona Chemical Corporation,6/19/02,2821-051-0148-V-01-0,VN-9387,Title V
17500048,Bassett Furniture Inds of Nc Inc,6/25/02,2511-175-0048-V-01-0,VN-9376,Title V
26100003,"C-E Minerals Plants No. 1, 2, and 6",7/16/02,3295-261-0003-V-01-0,VN-9374,Title V
6300059,Delta Air Lines Inc - Atlanta Station,6/26/02,4582-063-0059-V-01-0,VN-9433,Title V
17500035,Gilman Building Products - Dudley Mill,11/29/99,2421-175-0035-V-01-0,VN-9429,Title V
19900017,Mead Southern Wood Products,5/31/00,2421-199-0017-V-01-0,VN-9411,Title V
21500002,Goldens' Foundry & Machine Co,8/7/02,3321-215-0002-V-01-0,VN-9442,Title V
8900297,Hickory Ridge MSW Landfill,11/3/99,4953-089-0297-V-01-0,VN-9831,Title V
27700061,Chickasha of Georgia,7/23/99,2074-277-0061-V-01-0,VN-9809,Title V
5100037,EMD MILLIPORE CORPORATION,8/5/99,2816-051-0037-V-01-0,VN-9569,Title V
32100004,Crisp County Power Commission,4/1/98,4911-321-0004-V-01-0,,Title V
24500007,Unimin Corporation - Hephzibah,9/30/99,1455-245-0007-V-01-0,VN-8966,Title V
29300003,Royal Cord Inc,10/12/01,2296-293-0003-V-01-0,VN-9051,Title V
7300004,"GIW Industries, Inc.",1/8/01,3561-073-0004-V-01-0,VN-9023,Title V
9300022,Roseburg Forest Products South LP,3/30/00,2493-093-0022-V-01-0,VN-9080,Title V
500008,Milliken & Co Alma Plant,5/17/00,2281-005-0008-V-01-0,VN-9117,Title V
5100149,Hunter Army Airfield,11/12/02,9711-051-0149-V-01-0,VN-9114,Title V
17500004,"SP Fiber Technologies Southeast, LLC",10/17/02,2621-175-0004-V-01-0,VN-9090,Title V
6300020,Rexam Beverage Can Company,3/25/99,3411-063-0020-V-01-0,VN-9140,Title V
24500012,Prayon Inc.,1/10/00,2819-245-0012-V-02-0,VN-9118,Title V
9500085,"Southern Natural Gas Company, L.L.C. - Albany Comp. Station",8/13/99,4922-095-0085-V-01-0,VN-9178,Title V
9500071,Procter & Gamble Paper Products Company,11/12/02,2676-095-0071-V-01-0,VN-9172,Title V
5700036,ATLANTA GAS LIGHT CO.,4/17/00,4924-057-0036-V-01-0,VN-9165,Title V
16900010,Atlanta Gas Light Company - Macon LNG Plant,4/27/00,4924-169-0010-V-01-0,VN-9164,Title V
5100019,Georgia-Pacific Gypsum LLC - Savannah Plant,4/3/00,3275-051-0019-V-01-0,VN-9156,Title V
31900004,"BASF Corporation, Gordon Plant",6/19/02,1455-009-0004-V-01-0,VN-9153,Title V
14300017,Plantation Pipe Line Co,6/26/03,4613-143-0017-V-01-0,VN-9151,Title V
5900026,CertainTeed Corporation,1/30/03,3296-059-0026-V-01-0,VN-9211,Title V
22700003,Imerys Marble Inc.,4/3/00,1499-227-0003-V-01-0,VN-9193,Title V
2100001,Graphic Packaging Macon Mill,5/22/02,2631-021-0001-V-01-0,VN-9189,Title V
4500044,Flowers Baking,7/9/98,2051-045-0044-V-01-0,VN-9183,Title V
6300106,Clayton County SR 3 Love Joy Landfill,7/25/00,4953-063-0106-V-01-0,VN-10485,Title V
30500031,Broadhurst Environmental Landfill,5/10/00,4953-305-0031-V-01-0,VN-10030,Title V
28500069,Guardian Automotive,8/23/00,3089-285-0069-V-01-0,VN-10069,Title V
6300069,Star Packaging Corp,3/7/00,2673-063-0069-F-01-1,VN-10064,Title V
27100004,Telfair Forest Products LLC,5/17/00,2421-271-0004-V-01-0,VN-10217,Title V
15700011,Roper Pump Company,6/3/02,3561-157-0011-V-02-0,VN-11114,Title V
4500039,Printpack Inc,5/13/99,2759-045-0039-V-01-1,VN-11134,Title V
11500025,Florida Tile Industries Inc,5/25/00,3253-115-0025-V-01-2,VN-11577,Title V
6300089,Thomas Built Buses In,1/8/01,3713-063-0089-V-01-0,VN-11462,Title V
8100056,American Coaters LLC,9/30/99,3471-081-0056-V-02-0,VN-10738,Title V
15100009,Atlas Roofing Corp.,11/6/00,2952-151-0009-V-01-0,VN-10774,Title V
20700030,Smarr EMC,1/1/01,4911-207-0030-V-05-0,VN-12295,Title V
31700023,International Paper (Lumber Mill),2/14/01,2421-317-0023-V-01-1,VN-12310,Title V
28500048,Kimberly-Clark Corporation,11/3/99,2297-285-0048-V-01-1,VN-11639,Title V
23700008,Ga Power Company - Plant Branch,3/21/00,4911-237-0008-V-01-1,VN-11712,Title V
28500070,"Safa, L.L.C.",5/10/00,3714-285-0070-V-01-0,VN-11821,Title V
8900079,"Fenner Dunlop (Atlanta), Inc.",4/27/01,3041-089-0079-V-05-0,VN-11823,Title V
6700003,Ga Power Company - Plant McDonough/Atkinson,3/21/00,4911-067-0003-V-01-2,VN-11858,Title V
6700022,Caraustar Industries Inc,5/31/00,2631-067-0022-V-01-1,VN-11946,Title V
15700015,"Atlantic Wood Pellets Athens, LLC",11/15/00,2493-157-0015-V-01-2,VN-12052,Title V
8900047,GRAPHIC PACKAGING INTERNATIONAL,7/6/00,2657-089-0047-V-01-1,VN-12079,Title V
30300035,KaMin - Sandersville,6/3/02,3295-303-0035-V-01-0,VN-12789,Title V
4900004,West Fraser - Folkston Lumber Mill,11/12/03,2421-049-0004-V-01-2,VN-12785,Title V
5500005,SHOWA BEST GLOVE,1/29/02,3069-055-0005-V-01-1,VN-12857,Title V
12100070,"WestRock Packaging Systems, LLC",2/23/04,2657-121-0070-V-02-2,VN-12935,Title V
31300137,Dow Chemical Polyuret,7/10/02,2822-313-0137-V-01-1,VN-13253,Title V
6300089,Thomas Built Buses In,9/28/01,3713-063-0089-V-01-1,VN-13250,Title V
3900025,Trigen Biopower Inc,1/30/03,4961-039-0025-V-01-0,VN-12979,Title V
21500089,Exide Technologies,4/24/03,3691-215-0089-S-03-0,VN-13223,Title V
24500012,Prayon Inc.,12/21/00,2819-245-0012-V-01-2,VN-12458,Title V
21500051,Exide Technologies,1/24/01,3341-215-0051-V-02-0,VN-12450,Title V
17500058,Rentz Cabinet Corp,10/13/04,2434-175-0058-V-01-1,VN-12469,Title V
10700011,Interfor U.S. Inc. - Swainsboro Sawmill,9/28/01,2421-107-0011-V-02-0,VN-12503,Title V
500008,Milliken & Co Alma Plant,9/16/02,2281-005-0008-V-01-1,VN-13881,Title V
24500068,Procter & Gamble Manufacturing Co,3/24/03,2841-245-0068-V-01-1,VN-13991,Title V
